scenario,world_seed,agent_seed,strategy,n_channels,n_slots,slot_duration_s,total_scans,total_detections,true_positive_scans,false_positive_scans,on_target_scans,redundant_scans,n_activity_intervals,n_detected_intervals,n_missed_intervals,n_missed_never_scanned,n_missed_detector,n_censored_intervals,detection_rate,missed_detection_rate,on_target_scan_rate,scan_efficiency,redundant_scan_rate,mean_detection_delay_slots,median_detection_delay_slots,max_detection_delay_slots,time_to_first_detection_slots,emerging_discovery_delay_slots,emerging_discovery_censored,channels_covered,channel_coverage,coverage_time_slots,mean_decision_latency_ms,mean_detection_delay_s,time_to_first_detection_s,emerging_discovery_delay_s,noise_tier
normal_noise_elevated,18,18,adaptive,12,800,0.1,800,316,277,39,304,91,58,27,31,30,1,0,0.46551724137931033,0.5344827586206896,0.38,0.34625,0.11375,3.6666666666666665,3.0,15,2,,False,12,1.0,11,1.1029855010201572,0.3666666666666667,0.2,,elevated
normal_noise_elevated,19,19,sequential,12,800,0.1,800,117,62,55,69,0,58,32,26,25,1,0,0.5517241379310345,0.4482758620689655,0.08625,0.0775,0.0,4.59375,4.0,17,17,,False,12,1.0,11,0.0002441248943796381,0.45937500000000003,1.7000000000000002,,elevated
normal_noise_elevated,19,19,random,12,800,0.1,800,123,53,70,61,205,58,20,38,34,4,0,0.3448275862068966,0.6551724137931034,0.07625,0.06625,0.25625,7.45,7.0,20,1,,False,12,1.0,43,0.001788125591701828,0.7450000000000001,0.1,,elevated
normal_noise_elevated,19,19,heuristic,12,800,0.1,800,395,356,39,392,159,58,15,43,43,0,0,0.25862068965517243,0.7413793103448276,0.49,0.445,0.19875,2.2,0.0,22,3,,False,12,1.0,11,0.004915625358989928,0.22000000000000003,0.30000000000000004,,elevated
normal_noise_elevated,19,19,adaptive,12,800,0.1,800,365,332,33,365,59,58,23,35,35,0,0,0.39655172413793105,0.603448275862069,0.45625,0.415,0.07375,4.478260869565218,2.0,35,13,,False,12,1.0,11,1.092059000111476,0.4478260869565218,1.3,,elevated
normal_noise_high,0,0,sequential,12,800,0.1,800,139,54,85,62,0,63,34,29,27,2,0,0.5396825396825397,0.4603174603174603,0.0775,0.0675,0.0,5.794117647058823,5.0,22,2,,False,12,1.0,11,0.000234374929277692,0.5794117647058824,0.2,,high
normal_noise_high,0,0,random,12,800,0.1,800,126,40,86,50,210,63,25,38,36,2,0,0.3968253968253968,0.6031746031746031,0.0625,0.05,0.2625,6.28,5.0,17,8,,False,12,1.0,38,0.0018083754548570141,0.6280000000000001,0.8,,high
normal_noise_high,0,0,heuristic,12,800,0.1,800,372,311,61,367,115,63,21,42,40,2,0,0.3333333333333333,0.6666666666666666,0.45875,0.38875,0.14375,1.0952380952380953,0.0,9,3,,False,12,1.0,14,0.004874750338785816,0.10952380952380954,0.30000000000000004,,high
normal_noise_high,0,0,adaptive,12,800,0.1,800,370,310,60,368,55,63,36,27,25,2,0,0.5714285714285714,0.42857142857142855,0.46,0.3875,0.06875,4.0,3.0,14,2,,False,12,1.0,11,1.171789250402071,0.4,0.2,,high
normal_noise_high,1,1,sequential,12,800,0.1,800,159,53,106,63,0,63,30,33,26,7,0,0.47619047619047616,0.5238095238095238,0.07875,0.06625,0.0,4.833333333333333,5.0,14,5,,False,12,1.0,11,0.0002503748328308575,0.48333333333333334,0.5,,high
normal_noise_high,1,1,random,12,800,0.1,800,147,46,101,61,206,63,26,37,31,6,1,0.4126984126984127,0.5873015873015873,0.07625,0.0575,0.2575,6.115384615384615,3.0,28,8,,False,12,1.0,48,0.0019147503189742567,0.6115384615384616,0.8,,high
normal_noise_high,1,1,heuristic,12,800,0.1,800,274,184,90,205,190,63,20,43,42,1,1,0.31746031746031744,0.6825396825396826,0.25625,0.23,0.2375,5.5,0.0,54,5,,False,12,1.0,11,0.005102875402371865,0.55,0.5,,high
normal_noise_high,1,1,adaptive,12,800,0.1,800,325,261,64,306,87,63,32,31,30,1,0,0.5079365079365079,0.49206349206349204,0.3825,0.32625,0.10875,5.40625,4.0,18,5,,False,12,1.0,11,1.124341875074606,0.540625,0.5,,high
normal_noise_high,2,2,sequential,12,800,0.1,800,145,52,93,58,0,62,35,27,24,3,0,0.5645161290322581,0.43548387096774194,0.0725,0.065,0.0,4.828571428571428,4.0,11,5,,False,12,1.0,11,0.00025012483092723414,0.4828571428571429,0.5,,high
normal_noise_high,2,2,random,12,800,0.1,800,141,49,92,54,195,62,25,37,36,1,0,0.4032258064516129,0.5967741935483871,0.0675,0.06125,0.24375,4.04,2.0,20,6,,False,12,1.0,16,0.0018747489957604557,0.404,0.6000000000000001,,high
normal_noise_high,2,2,heuristic,12,800,0.1,800,252,176,76,200,229,62,27,35,34,1,0,0.43548387096774194,0.5645161290322581,0.25,0.22,0.28625,0.6666666666666666,0.0,13,5,,False,12,1.0,11,0.004980125158908777,0.06666666666666667,0.5,,high
normal_noise_high,2,2,adaptive,12,800,0.1,800,327,277,50,318,76,62,28,34,33,1,0,0.45161290322580644,0.5483870967741935,0.3975,0.34625,0.095,4.0,3.0,16,5,,False,12,1.0,11,1.134663500561146,0.4,0.5,,high
