scenario,world_seed,agent_seed,strategy,n_channels,n_slots,slot_duration_s,total_scans,total_detections,true_positive_scans,false_positive_scans,on_target_scans,redundant_scans,n_activity_intervals,n_detected_intervals,n_missed_intervals,n_missed_never_scanned,n_missed_detector,n_censored_intervals,detection_rate,missed_detection_rate,on_target_scan_rate,scan_efficiency,redundant_scan_rate,mean_detection_delay_slots,median_detection_delay_slots,max_detection_delay_slots,time_to_first_detection_slots,emerging_discovery_delay_slots,emerging_discovery_censored,channels_covered,channel_coverage,coverage_time_slots,mean_decision_latency_ms,mean_detection_delay_s,time_to_first_detection_s,emerging_discovery_delay_s,variant
changing_distribution,1,1,adaptive,12,800,0.1,800,512,511,1,528,25,82,42,40,38,2,1,0.5121951219512195,0.4878048780487805,0.66,0.63875,0.03125,13.071428571428571,11.5,35,0,,False,12,1.0,11,1.1523670003953157,1.3071428571428572,0.0,,E_full_policy
changing_distribution,1,1,adaptive,12,800,0.1,800,517,515,2,528,24,82,40,42,41,1,1,0.4878048780487805,0.5121951219512195,0.66,0.64375,0.03,14.375,14.0,34,0,,False,12,1.0,11,1.1220758753552218,1.4375,0.0,,F_full_policy_no_online_feedback
changing_distribution,2,2,adaptive,12,800,0.1,800,528,524,4,543,11,75,34,41,41,0,1,0.4533333333333333,0.5466666666666666,0.67875,0.655,0.01375,15.647058823529411,14.5,35,0,,False,12,1.0,11,1.108328749651264,1.5647058823529412,0.0,,A_prediction_only
changing_distribution,2,2,adaptive,12,800,0.1,800,539,532,7,548,5,75,41,34,34,0,0,0.5466666666666666,0.4533333333333333,0.685,0.665,0.00625,13.0,12.0,35,0,,False,12,1.0,11,1.1121548747178167,1.3,0.0,,B_prediction_exploration
changing_distribution,2,2,adaptive,12,800,0.1,800,533,528,5,552,4,75,39,36,36,0,0,0.52,0.48,0.69,0.66,0.005,13.307692307692308,11.0,34,0,,False,12,1.0,11,1.1216500002046814,1.330769230769231,0.0,,C_prediction_exploration_freshness
changing_distribution,2,2,adaptive,12,800,0.1,800,533,528,5,549,4,75,39,36,36,0,0,0.52,0.48,0.68625,0.66,0.005,11.820512820512821,7.0,34,0,,False,12,1.0,11,1.1209543752556783,1.182051282051282,0.0,,D_prediction_exploration_freshness_trend
changing_distribution,2,2,adaptive,12,800,0.1,800,534,529,5,549,4,75,37,38,38,0,0,0.49333333333333335,0.5066666666666667,0.68625,0.66125,0.005,13.054054054054054,9.0,34,0,,False,12,1.0,11,1.143027499456366,1.3054054054054056,0.0,,E_full_policy
changing_distribution,2,2,adaptive,12,800,0.1,800,530,526,4,544,5,75,35,40,40,0,0,0.4666666666666667,0.5333333333333333,0.68,0.6575,0.00625,12.82857142857143,11.0,35,0,,False,12,1.0,11,1.1401140004090848,1.282857142857143,0.0,,F_full_policy_no_online_feedback
changing_distribution,3,3,adaptive,12,800,0.1,800,523,514,9,526,21,75,38,37,36,1,1,0.5066666666666667,0.49333333333333335,0.6575,0.6425,0.02625,12.5,12.5,35,1,,False,12,1.0,11,1.1348290001114947,1.25,0.1,,A_prediction_only
changing_distribution,3,3,adaptive,12,800,0.1,800,526,521,5,536,16,75,39,36,35,1,1,0.52,0.48,0.67,0.65125,0.02,11.076923076923077,6.0,35,1,,False,12,1.0,11,1.1646107503474923,1.1076923076923078,0.1,,B_prediction_exploration
changing_distribution,3,3,adaptive,12,800,0.1,800,554,550,4,562,2,75,45,30,29,1,2,0.6,0.4,0.7025,0.6875,0.0025,10.577777777777778,5.0,35,1,,False,12,1.0,11,1.123208001263265,1.0577777777777777,0.1,,C_prediction_exploration_freshness
changing_distribution,3,3,adaptive,12,800,0.1,800,542,538,4,549,5,75,43,32,31,1,2,0.5733333333333334,0.4266666666666667,0.68625,0.6725,0.00625,13.30232558139535,12.0,35,1,,False,12,1.0,11,1.1833813757039024,1.3302325581395351,0.1,,D_prediction_exploration_freshness_trend
changing_distribution,3,3,adaptive,12,800,0.1,800,546,542,4,553,5,75,39,36,35,1,2,0.52,0.48,0.69125,0.6775,0.00625,11.41025641025641,7.0,35,1,,False,12,1.0,11,1.1187816254459904,1.1410256410256412,0.1,,E_full_policy
changing_distribution,3,3,adaptive,12,800,0.1,800,537,531,6,544,8,75,40,35,34,1,2,0.5333333333333333,0.4666666666666667,0.68,0.66375,0.01,11.775,10.0,35,1,,False,12,1.0,11,1.1682383748848224,1.1775,0.1,,F_full_policy_no_online_feedback
changing_distribution,4,4,adaptive,12,800,0.1,800,531,525,6,541,12,77,44,33,32,1,2,0.5714285714285714,0.42857142857142855,0.67625,0.65625,0.015,13.636363636363637,12.0,34,0,,False,12,1.0,11,1.1600590008674772,1.3636363636363638,0.0,,A_prediction_only
changing_distribution,4,4,adaptive,12,800,0.1,800,548,542,6,556,8,77,43,34,33,1,1,0.5584415584415584,0.44155844155844154,0.695,0.6775,0.01,14.44186046511628,15.0,35,0,,False,12,1.0,11,1.1612536256870953,1.444186046511628,0.0,,B_prediction_exploration
changing_distribution,4,4,adaptive,12,800,0.1,800,548,544,4,554,4,77,43,34,33,1,2,0.5584415584415584,0.44155844155844154,0.6925,0.68,0.005,13.395348837209303,8.0,34,0,,False,12,1.0,11,1.149730625002121,1.3395348837209304,0.0,,C_prediction_exploration_freshness
changing_distribution,4,4,adaptive,12,800,0.1,800,546,541,5,554,0,77,44,33,32,1,1,0.5714285714285714,0.42857142857142855,0.6925,0.67625,0.0,12.272727272727273,7.0,47,0,,False,12,1.0,11,1.152544125179702,1.2272727272727275,0.0,,D_prediction_exploration_freshness_trend
changing_distribution,4,4,adaptive,12,800,0.1,800,551,547,4,558,2,77,45,32,31,1,1,0.5844155844155844,0.4155844155844156,0.6975,0.68375,0.0025,11.822222222222223,7.0,35,0,,False,12,1.0,11,1.1367351249646163,1.1822222222222223,0.0,,E_full_policy
changing_distribution,4,4,adaptive,12,800,0.1,800,555,552,3,561,12,77,46,31,28,3,1,0.5974025974025974,0.4025974025974026,0.70125,0.69,0.015,10.565217391304348,5.5,33,0,,False,12,1.0,11,1.1525241247727536,1.056521739130435,0.0,,F_full_policy_no_online_feedback
changing_distribution,5,5,adaptive,12,800,0.1,800,535,528,7,547,10,74,38,36,36,0,1,0.5135135135135135,0.4864864864864865,0.68375,0.66,0.0125,9.947368421052632,6.0,30,0,,False,12,1.0,11,1.1310869993030792,0.9947368421052633,0.0,,A_prediction_only
changing_distribution,5,5,adaptive,12,800,0.1,800,531,523,8,538,13,74,36,38,38,0,1,0.4864864864864865,0.5135135135135135,0.6725,0.65375,0.01625,11.333333333333334,9.5,33,0,,False,12,1.0,11,1.132153375147027,1.1333333333333335,0.0,,B_prediction_exploration
changing_distribution,5,5,adaptive,12,800,0.1,800,533,526,7,546,4,74,40,34,34,0,1,0.5405405405405406,0.4594594594594595,0.6825,0.6575,0.005,10.975,6.5,33,0,,False,12,1.0,11,1.1464340003658435,1.0975,0.0,,C_prediction_exploration_freshness
changing_distribution,5,5,adaptive,12,800,0.1,800,535,530,5,550,4,74,39,35,35,0,0,0.527027027027027,0.47297297297297297,0.6875,0.6625,0.005,10.384615384615385,7.0,34,0,,False,12,1.0,11,1.0869494994767592,1.0384615384615385,0.0,,D_prediction_exploration_freshness_trend
changing_distribution,5,5,adaptive,12,800,0.1,800,541,534,7,551,3,74,37,37,37,0,1,0.5,0.5,0.68875,0.6675,0.00375,10.35135135135135,7.0,32,0,,False,12,1.0,11,1.0969783749533235,1.0351351351351352,0.0,,E_full_policy
changing_distribution,5,5,adaptive,12,800,0.1,800,530,525,5,540,8,74,39,35,35,0,1,0.527027027027027,0.47297297297297297,0.675,0.65625,0.01,11.051282051282051,7.0,33,0,,False,12,1.0,11,1.097906124414294,1.1051282051282052,0.0,,F_full_policy_no_online_feedback
changing_distribution,6,6,adaptive,12,800,0.1,800,550,547,3,560,6,74,44,30,29,1,2,0.5945945945945946,0.40540540540540543,0.7,0.68375,0.0075,15.386363636363637,14.5,36,1,,False,12,1.0,11,1.1228112502067233,1.5386363636363638,0.1,,A_prediction_only
changing_distribution,6,6,adaptive,12,800,0.1,800,551,546,5,560,6,74,47,27,26,1,2,0.6351351351351351,0.36486486486486486,0.7,0.6825,0.0075,14.170212765957446,11.0,36,1,,False,12,1.0,11,1.1407897495882935,1.4170212765957446,0.1,,B_prediction_exploration
changing_distribution,6,6,adaptive,12,800,0.1,800,543,540,3,555,4,74,45,29,29,0,1,0.6081081081081081,0.3918918918918919,0.69375,0.675,0.005,14.377777777777778,12.0,36,1,,False,12,1.0,11,1.133860499394359,1.4377777777777778,0.1,,C_prediction_exploration_freshness
changing_distribution,6,6,adaptive,12,800,0.1,800,550,547,3,557,3,74,46,28,28,0,2,0.6216216216216216,0.3783783783783784,0.69625,0.68375,0.00375,14.304347826086957,12.0,36,1,,False,12,1.0,11,1.1358136253329576,1.4304347826086958,0.1,,D_prediction_exploration_freshness_trend
changing_distribution,6,6,adaptive,12,800,0.1,800,552,545,7,558,4,74,47,27,27,0,1,0.6351351351351351,0.36486486486486486,0.6975,0.68125,0.005,13.319148936170214,10.0,36,1,,False,12,1.0,11,1.1469518750891439,1.3319148936170215,0.1,,E_full_policy
changing_distribution,6,6,adaptive,12,800,0.1,800,554,550,4,563,5,74,47,27,27,0,2,0.6351351351351351,0.36486486486486486,0.70375,0.6875,0.00625,13.53191489361702,10.0,36,1,,False,12,1.0,11,1.107717624909128,1.353191489361702,0.1,,F_full_policy_no_online_feedback
changing_distribution,7,7,adaptive,12,800,0.1,800,542,534,8,548,8,87,40,47,47,0,1,0.45977011494252873,0.5402298850574713,0.685,0.6675,0.01,12.975,11.0,35,1,,False,12,1.0,11,1.1026382503769128,1.2975,0.1,,A_prediction_only
changing_distribution,7,7,adaptive,12,800,0.1,800,538,531,7,547,5,87,42,45,44,1,1,0.4827586206896552,0.5172413793103449,0.68375,0.66375,0.00625,13.0,9.0,37,1,,False,12,1.0,11,1.119278125006531,1.3,0.1,,B_prediction_exploration
changing_distribution,7,7,adaptive,12,800,0.1,800,546,540,6,552,6,87,41,46,45,1,1,0.47126436781609193,0.5287356321839081,0.69,0.675,0.0075,12.21951219512195,7.0,35,1,,False,12,1.0,11,1.1014236254050047,1.221951219512195,0.1,,C_prediction_exploration_freshness
changing_distribution,7,7,adaptive,12,800,0.1,800,544,535,9,551,2,87,44,43,43,0,1,0.5057471264367817,0.4942528735632184,0.68875,0.66875,0.0025,13.318181818181818,7.0,39,1,,False,12,1.0,11,1.1152483753903653,1.331818181818182,0.1,,D_prediction_exploration_freshness_trend
changing_distribution,7,7,adaptive,12,800,0.1,800,547,540,7,556,4,87,42,45,45,0,1,0.4827586206896552,0.5172413793103449,0.695,0.675,0.005,9.071428571428571,4.5,31,1,,False,12,1.0,11,1.1506307504532742,0.9071428571428571,0.1,,E_full_policy
changing_distribution,7,7,adaptive,12,800,0.1,800,547,541,6,555,4,87,44,43,43,0,1,0.5057471264367817,0.4942528735632184,0.69375,0.67625,0.005,11.159090909090908,6.0,35,1,,False,12,1.0,11,1.1508807501013507,1.115909090909091,0.1,,F_full_policy_no_online_feedback
changing_distribution,8,8,adaptive,12,800,0.1,800,530,523,7,542,22,77,37,40,39,1,1,0.4805194805194805,0.5194805194805194,0.6775,0.65375,0.0275,13.378378378378379,8.0,34,1,,False,12,1.0,11,1.1203296253370354,1.337837837837838,0.1,,A_prediction_only
changing_distribution,8,8,adaptive,12,800,0.1,800,528,522,6,539,18,77,45,32,31,1,0,0.5844155844155844,0.4155844155844156,0.67375,0.6525,0.0225,12.8,8.0,35,1,,False,12,1.0,11,1.1142277493854635,1.2800000000000002,0.1,,B_prediction_exploration
changing_distribution,8,8,adaptive,12,800,0.1,800,544,534,10,548,12,77,40,37,37,0,1,0.5194805194805194,0.4805194805194805,0.685,0.6675,0.015,12.225,7.5,35,1,,False,12,1.0,11,1.1466703749465523,1.2225000000000001,0.1,,C_prediction_exploration_freshness
changing_distribution,8,8,adaptive,12,800,0.1,800,537,529,8,544,12,77,38,39,39,0,1,0.4935064935064935,0.5064935064935064,0.68,0.66125,0.015,14.105263157894736,10.5,35,1,,False,12,1.0,11,1.1121978751179995,1.4105263157894736,0.1,,D_prediction_exploration_freshness_trend
changing_distribution,8,8,adaptive,12,800,0.1,800,535,527,8,546,10,77,40,37,37,0,1,0.5194805194805194,0.4805194805194805,0.6825,0.65875,0.0125,11.8,8.0,35,1,,False,12,1.0,11,1.120527249877341,1.1800000000000002,0.1,,E_full_policy
changing_distribution,8,8,adaptive,12,800,0.1,800,537,530,7,547,11,77,39,38,38,0,1,0.5064935064935064,0.4935064935064935,0.68375,0.6625,0.01375,12.58974358974359,8.0,35,1,,False,12,1.0,11,1.1270025003977935,1.258974358974359,0.1,,F_full_policy_no_online_feedback
changing_distribution,9,9,adaptive,12,800,0.1,800,540,534,6,551,7,87,46,41,41,0,1,0.5287356321839081,0.47126436781609193,0.68875,0.6675,0.00875,11.304347826086957,7.0,35,0,,False,12,1.0,11,1.0985294999409234,1.1304347826086958,0.0,,A_prediction_only
changing_distribution,9,9,adaptive,12,800,0.1,800,526,517,9,528,16,87,45,42,42,0,1,0.5172413793103449,0.4827586206896552,0.66,0.64625,0.02,10.4,6.0,35,0,,False,12,1.0,11,1.138625499297632,1.04,0.0,,B_prediction_exploration
changing_distribution,9,9,adaptive,12,800,0.1,800,531,526,5,541,10,87,47,40,40,0,1,0.5402298850574713,0.45977011494252873,0.67625,0.6575,0.0125,11.638297872340425,9.0,35,0,,False,12,1.0,11,1.1254223742434988,1.1638297872340426,0.0,,C_prediction_exploration_freshness
changing_distribution,9,9,adaptive,12,800,0.1,800,528,524,4,539,10,87,47,40,40,0,1,0.5402298850574713,0.45977011494252873,0.67375,0.655,0.0125,12.361702127659575,10.0,35,0,,False,12,1.0,11,1.124346500291722,1.2361702127659575,0.0,,D_prediction_exploration_freshness_trend
changing_distribution,9,9,adaptive,12,800,0.1,800,524,521,3,539,10,87,50,37,37,0,0,0.5747126436781609,0.42528735632183906,0.67375,0.65125,0.0125,11.52,9.0,35,0,,False,12,1.0,11,1.141084250266431,1.152,0.0,,E_full_policy
changing_distribution,9,9,adaptive,12,800,0.1,800,520,516,4,534,5,87,43,44,44,0,1,0.4942528735632184,0.5057471264367817,0.6675,0.645,0.00625,11.581395348837209,9.0,35,0,,False,12,1.0,11,1.1271771255269414,1.158139534883721,0.0,,F_full_policy_no_online_feedback
changing_distribution,10,10,adaptive,12,800,0.1,800,548,543,5,553,12,74,40,34,34,0,0,0.5405405405405406,0.4594594594594595,0.69125,0.67875,0.015,13.2,10.0,35,0,,False,12,1.0,11,1.0918896243310883,1.32,0.0,,A_prediction_only
changing_distribution,10,10,adaptive,12,800,0.1,800,557,551,6,562,9,74,43,31,31,0,0,0.581081081081081,0.4189189189189189,0.7025,0.68875,0.01125,11.13953488372093,6.0,34,0,,False,12,1.0,11,1.1110692501461017,1.1139534883720932,0.0,,B_prediction_exploration
changing_distribution,10,10,adaptive,12,800,0.1,800,547,541,6,557,6,74,42,32,32,0,0,0.5675675675675675,0.43243243243243246,0.69625,0.67625,0.0075,13.404761904761905,9.5,33,0,,False,12,1.0,11,1.172336624149466,1.3404761904761906,0.0,,C_prediction_exploration_freshness
changing_distribution,10,10,adaptive,12,800,0.1,800,552,545,7,557,5,74,44,30,30,0,0,0.5945945945945946,0.40540540540540543,0.69625,0.68125,0.00625,12.818181818181818,10.0,34,0,,False,12,1.0,11,1.1541062500691623,1.281818181818182,0.0,,D_prediction_exploration_freshness_trend
changing_distribution,10,10,adaptive,12,800,0.1,800,550,544,6,558,4,74,45,29,29,0,0,0.6081081081081081,0.3918918918918919,0.6975,0.68,0.005,12.644444444444444,10.0,34,0,,False,12,1.0,11,1.113345624617068,1.2644444444444445,0.0,,E_full_policy
changing_distribution,10,10,adaptive,12,800,0.1,800,549,543,6,559,7,74,45,29,29,0,0,0.6081081081081081,0.3918918918918919,0.69875,0.67875,0.00875,10.622222222222222,8.0,34,0,,False,12,1.0,11,1.144711999586434,1.0622222222222222,0.0,,F_full_policy_no_online_feedback
changing_distribution,11,11,adaptive,12,800,0.1,800,530,524,6,538,7,79,37,42,42,0,2,0.46835443037974683,0.5316455696202531,0.6725,0.655,0.00875,13.054054054054054,9.0,34,0,,False,12,1.0,11,1.1525303745293058,1.3054054054054056,0.0,,A_prediction_only
changing_distribution,11,11,adaptive,12,800,0.1,800,533,528,5,543,6,79,39,40,40,0,2,0.4936708860759494,0.5063291139240507,0.67875,0.66,0.0075,12.025641025641026,9.0,35,0,,False,12,1.0,11,1.1083755003346596,1.2025641025641027,0.0,,B_prediction_exploration
changing_distribution,11,11,adaptive,12,800,0.1,800,538,533,5,550,6,79,36,43,42,1,2,0.45569620253164556,0.5443037974683544,0.6875,0.66625,0.0075,12.63888888888889,9.5,34,0,,False,12,1.0,11,1.1106075012867223,1.263888888888889,0.0,,C_prediction_exploration_freshness
