scenario,world_seed,strategy,hot_then_quiet_rate_before,hot_then_quiet_rate_after,hot_then_quiet_scans_before,hot_then_quiet_scans_after,quiet_then_hot_rate_before,quiet_then_hot_rate_after,quiet_then_hot_scans_before,quiet_then_hot_scans_after
changing_distribution,17,random,0.8333333333333334,0.058823529411764705,102,102,0.03614457831325301,0.7654320987654321,83,81
changing_distribution,17,heuristic,0.8950276243093923,0.041044776119402986,362,268,0.0,0.5892857142857143,9,112
changing_distribution,17,adaptive,0.92,0.025,300,40,0.0,0.903448275862069,33,290
changing_distribution,18,sequential,0.8235294117647058,0.06060606060606061,102,99,0.04040404040404041,0.8282828282828283,99,99
changing_distribution,18,random,0.7731958762886598,0.05102040816326531,97,98,0.009009009009009009,0.7978723404255319,111,94
changing_distribution,18,heuristic,0.7939560439560439,0.022598870056497175,364,354,0.0,0.7,14,20
changing_distribution,18,adaptive,0.9066666666666666,0.027777777777777776,300,36,0.09090909090909091,0.9115646258503401,33,294
changing_distribution,19,sequential,0.803921568627451,0.0,102,99,0.010101010101010102,0.8383838383838383,99,99
changing_distribution,19,random,0.7912087912087912,0.010416666666666666,91,96,0.0297029702970297,0.8878504672897196,101,107
changing_distribution,19,heuristic,0.825136612021858,0.03713527851458886,366,377,0.0,0.75,11,8
changing_distribution,19,adaptive,0.91,0.020833333333333332,300,48,0.030303030303030304,0.9113475177304965,33,282
