scenario,world_seed,agent_seed,strategy,n_channels,n_slots,slot_duration_s,total_scans,total_detections,true_positive_scans,false_positive_scans,on_target_scans,redundant_scans,n_activity_intervals,n_detected_intervals,n_missed_intervals,n_missed_never_scanned,n_missed_detector,n_censored_intervals,detection_rate,missed_detection_rate,on_target_scan_rate,scan_efficiency,redundant_scan_rate,mean_detection_delay_slots,median_detection_delay_slots,max_detection_delay_slots,time_to_first_detection_slots,emerging_discovery_delay_slots,emerging_discovery_censored,channels_covered,channel_coverage,coverage_time_slots,mean_decision_latency_ms,mean_detection_delay_s,time_to_first_detection_s,emerging_discovery_delay_s
normal,2,2,heuristic,12,800,0.1,800,222,211,11,217,377,62,29,33,33,0,0,0.46774193548387094,0.532258064516129,0.27125,0.26375,0.47125,1.896551724137931,0.0,41.0,5.0,,False,12,1.0,11,0.03061050014366629,0.18965517241379312,0.5,
normal,2,2,adaptive,12,800,0.1,800,318,310,8,317,116,62,26,36,36,0,0,0.41935483870967744,0.5806451612903226,0.39625,0.3875,0.145,3.6923076923076925,2.0,18.0,5.0,,False,12,1.0,11,5.9620473751056124,0.36923076923076925,0.5,
normal,3,3,sequential,12,800,0.1,800,76,54,22,54,0,62,38,24,24,0,0,0.6129032258064516,0.3870967741935484,0.0675,0.0675,0.0,5.026315789473684,5.0,11.0,2.0,,False,12,1.0,11,0.0014957501844037324,0.5026315789473684,0.2,
normal,3,3,random,12,800,0.1,800,69,47,22,48,246,62,24,38,38,0,0,0.3870967741935484,0.6129032258064516,0.06,0.05875,0.3075,4.125,4.0,14.0,2.0,,False,12,1.0,31,0.01803062539693201,0.41250000000000003,0.2,
normal,3,3,heuristic,12,800,0.1,800,297,281,16,287,296,62,25,37,37,0,0,0.4032258064516129,0.5967741935483871,0.35875,0.35125,0.37,1.56,0.0,12.0,0.0,,False,12,1.0,12,0.02814300067257136,0.15600000000000003,0.0,
normal,3,3,adaptive,12,800,0.1,800,280,263,17,273,104,62,32,30,30,0,0,0.5161290322580645,0.4838709677419355,0.34125,0.32875,0.13,3.03125,2.0,14.0,2.0,,False,12,1.0,11,5.921056124789175,0.30312500000000003,0.2,
normal,4,4,sequential,12,800,0.1,800,79,60,19,63,0,62,36,26,25,1,0,0.5806451612903226,0.41935483870967744,0.07875,0.075,0.0,4.972222222222222,5.0,17.0,5.0,,False,12,1.0,11,0.0013709994163946249,0.49722222222222223,0.5,
normal,4,4,random,12,800,0.1,800,63,48,15,49,249,62,27,35,34,1,1,0.43548387096774194,0.5645161290322581,0.06125,0.06,0.31125,7.111111111111111,5.0,29.0,8.0,,False,12,1.0,26,0.015167375349847134,0.7111111111111111,0.8,
normal,4,4,heuristic,12,800,0.1,800,267,259,8,264,355,62,19,43,42,1,0,0.3064516129032258,0.6935483870967742,0.33,0.32375,0.44375,4.7368421052631575,0.0,85.0,3.0,,False,12,1.0,11,0.027202500132261775,0.47368421052631576,0.30000000000000004,
normal,4,4,adaptive,12,800,0.1,800,308,300,8,308,119,62,28,34,32,2,0,0.45161290322580644,0.5483870967741935,0.385,0.375,0.14875,4.821428571428571,3.0,22.0,5.0,,False,12,1.0,11,5.607197124991217,0.48214285714285715,0.5,
normal,5,5,sequential,12,800,0.1,800,68,52,16,52,0,57,31,26,26,0,1,0.543859649122807,0.45614035087719296,0.065,0.065,0.0,4.290322580645161,4.0,11.0,5.0,,False,12,1.0,11,0.0014086248484090902,0.4290322580645161,0.5,
normal,5,5,random,12,800,0.1,800,55,40,15,41,240,57,19,38,37,1,0,0.3333333333333333,0.6666666666666666,0.05125,0.05,0.3,5.947368421052632,4.0,24.0,4.0,,False,12,1.0,29,0.016889499347598758,0.5947368421052632,0.4,
