scenario,variant,detection_rate_mean,detection_rate_std,detection_rate_count,missed_detection_rate_mean,missed_detection_rate_std,missed_detection_rate_count,mean_detection_delay_slots_mean,mean_detection_delay_slots_std,mean_detection_delay_slots_count,time_to_first_detection_slots_mean,time_to_first_detection_slots_std,time_to_first_detection_slots_count,emerging_discovery_delay_slots_mean,emerging_discovery_delay_slots_std,emerging_discovery_delay_slots_count,on_target_scan_rate_mean,on_target_scan_rate_std,on_target_scan_rate_count,scan_efficiency_mean,scan_efficiency_std,scan_efficiency_count,redundant_scan_rate_mean,redundant_scan_rate_std,redundant_scan_rate_count,channel_coverage_mean,channel_coverage_std,channel_coverage_count,coverage_time_slots_mean,coverage_time_slots_std,coverage_time_slots_count
bursty,A_prediction_only,0.20029795117818672,0.017790212884885685,15,0.7997020488218133,0.017790212884885706,15,0.6249305320501378,0.2101729522482232,15,15.066666666666666,15.691065094808694,15,,,0,0.10541666666666667,0.020026024734496523,15,0.10200000000000001,0.020413143524979895,15,0.33425,0.024375228936653812,15,1.0,0.0,15,11.0,0.0,15
bursty,B_prediction_exploration,0.17912115764414618,0.028748830206721546,15,0.8208788423558537,0.028748830206721553,15,0.9139122576723376,0.28841503260860224,15,18.666666666666668,20.43689474129244,15,,,0,0.1,0.016167372345914116,15,0.09691666666666668,0.01638587879271429,15,0.16308333333333333,0.024103879849715557,15,1.0,0.0,15,11.0,0.0,15
bursty,C_prediction_exploration_freshness,0.2040591386486595,0.023525044947226712,15,0.7959408613513406,0.02352504494722674,15,1.0537284652220578,0.20989660805686788,15,14.2,13.607770889143769,15,,,0,0.12325000000000001,0.018094494032321384,15,0.11883333333333333,0.017483836072484885,15,0.060083333333333336,0.011175014647907733,15,1.0,0.0,15,11.0,0.0,15
bursty,D_prediction_exploration_freshness_trend,0.19758683786340703,0.021523830684294105,15,0.802413162136593,0.02152383068429412,15,1.1724848319951313,0.23811086865043782,15,14.2,13.607770889143769,15,,,0,0.11783333333333333,0.01963657908331383,15,0.11416666666666667,0.01890806391337783,15,0.06916666666666667,0.011741891832644508,15,1.0,0.0,15,11.0,0.0,15
bursty,E_full_policy,0.1928791836704658,0.030967178658001956,15,0.8071208163295343,0.030967178658001956,15,1.2690334828692424,0.25278289027792583,15,15.4,16.092589243854718,15,,,0,0.11183333333333333,0.029043020225340273,15,0.10758333333333334,0.028396375942480175,15,0.04733333333333333,0.01243614643268718,15,1.0,0.0,15,11.0,0.0,15
bursty,F_full_policy_no_online_feedback,0.19893767163363485,0.03029965475472324,15,0.8010623283663652,0.030299654754723248,15,1.1932762301909006,0.22973384516383633,15,14.266666666666667,13.672008247649998,15,,,0,0.11474999999999999,0.024266930761252622,15,0.1105,0.02311558688726845,15,0.05708333333333333,0.012639106922940553,15,1.0,0.0,15,11.0,0.0,15
changing_distribution,A_prediction_only,0.5120477284248824,0.053101721949609035,15,0.48795227157511756,0.05310172194960905,15,12.990128137728084,1.6450798918293221,15,0.3333333333333333,0.4879500364742666,15,,,0,0.6824166666666667,0.013802389372168595,15,0.6633333333333333,0.013739173226667647,15,0.015166666666666667,0.008262796713208521,15,1.0,0.0,15,11.0,0.0,15
changing_distribution,B_prediction_exploration,0.5307263489952293,0.05838477836645812,15,0.4692736510047707,0.058384778366458105,15,12.382130885729287,1.2065810989699155,15,0.3333333333333333,0.4879500364742666,15,,,0,0.6855,0.016782484491704004,15,0.6656666666666666,0.015257219212400343,15,0.012750000000000001,0.007679401948440666,15,1.0,0.0,15,11.0,0.0,15
changing_distribution,C_prediction_exploration_freshness,0.538637568324532,0.05538952474371768,15,0.4613624316754679,0.05538952474371764,15,12.494671322855188,1.0600237484562929,15,0.3333333333333333,0.4879500364742666,15,,,0,0.6894166666666667,0.011298177265550826,15,0.6699166666666667,0.011480444034883637,15,0.007583333333333333,0.00712557432940037,15,1.0,0.0,15,11.0,0.0,15
changing_distribution,D_prediction_exploration_freshness_trend,0.5371675213884117,0.05055777474138016,15,0.46283247861158827,0.05055777474138015,15,12.413342804635999,1.1522694511760996,15,0.3333333333333333,0.4879500364742666,15,,,0,0.6886666666666666,0.01095309262698159,15,0.6691666666666667,0.010645114014464685,15,0.007,0.007717096048940394,15,1.0,0.0,15,11.0,0.0,15
changing_distribution,E_full_policy,0.5448907949462554,0.06149024501225379,15,0.45510920505374464,0.06149024501225377,15,11.88117365274812,1.3874427158018832,15,0.3333333333333333,0.4879500364742666,15,,,0,0.6895833333333333,0.01116702202703931,15,0.66925,0.012363540870525028,15,0.00725,0.0075029756001964215,15,1.0,0.0,15,11.0,0.0,15
