scenario,world_seed,agent_seed,strategy,n_channels,n_slots,slot_duration_s,total_scans,total_detections,true_positive_scans,false_positive_scans,on_target_scans,redundant_scans,n_activity_intervals,n_detected_intervals,n_missed_intervals,n_missed_never_scanned,n_missed_detector,n_censored_intervals,detection_rate,missed_detection_rate,on_target_scan_rate,scan_efficiency,redundant_scan_rate,mean_detection_delay_slots,median_detection_delay_slots,max_detection_delay_slots,time_to_first_detection_slots,emerging_discovery_delay_slots,emerging_discovery_censored,channels_covered,channel_coverage,coverage_time_slots,mean_decision_latency_ms,mean_detection_delay_s,time_to_first_detection_s,emerging_discovery_delay_s,predictor
high_activity,0,0,adaptive,12,800,0.1,800,566,556,10,573,5,207,70,137,137,0,1,0.33816425120772947,0.6618357487922706,0.71625,0.695,0.00625,8.471428571428572,5.0,43,0,,False,12,1.0,11,0.34819124994101003,0.8471428571428572,0.0,,decaying_beta
high_activity,1,1,adaptive,12,800,0.1,800,568,565,3,586,7,189,80,109,105,4,2,0.42328042328042326,0.5767195767195767,0.7325,0.70625,0.00875,7.4375,4.0,35,0,,False,12,1.0,11,0.3421451255780994,0.74375,0.0,,decaying_beta
high_activity,2,2,adaptive,12,800,0.1,800,579,577,2,593,6,214,81,133,131,2,2,0.37850467289719625,0.6214953271028038,0.74125,0.72125,0.0075,7.938271604938271,4.0,33,0,,False,12,1.0,11,0.3374297503614798,0.7938271604938272,0.0,,decaying_beta
high_activity,3,3,adaptive,12,800,0.1,800,567,559,8,581,6,197,89,108,105,3,0,0.4517766497461929,0.5482233502538071,0.72625,0.69875,0.0075,8.719101123595506,5.0,38,1,,False,12,1.0,11,0.3337757498593419,0.8719101123595506,0.1,,decaying_beta
high_activity,4,4,adaptive,12,800,0.1,800,566,559,7,580,7,204,89,115,111,4,2,0.4362745098039216,0.5637254901960784,0.725,0.69875,0.00875,7.123595505617978,5.0,34,0,,False,12,1.0,11,0.3332540009068907,0.7123595505617978,0.0,,decaying_beta
high_activity,5,5,adaptive,12,800,0.1,800,556,552,4,575,10,190,84,106,103,3,1,0.4421052631578947,0.5578947368421052,0.71875,0.69,0.0125,7.666666666666667,5.5,35,0,,False,12,1.0,11,0.3362920005019987,0.7666666666666667,0.0,,decaying_beta
high_activity,6,6,adaptive,12,800,0.1,800,576,569,7,577,11,186,91,95,95,0,2,0.489247311827957,0.510752688172043,0.72125,0.71125,0.01375,8.725274725274724,6.0,36,1,,False,12,1.0,11,0.3357300000061514,0.8725274725274725,0.1,,decaying_beta
high_activity,7,7,adaptive,12,800,0.1,800,567,562,5,577,9,221,107,114,114,0,2,0.4841628959276018,0.5158371040723982,0.72125,0.7025,0.01125,6.663551401869159,4.0,33,1,,False,12,1.0,11,0.3465314997083624,0.666355140186916,0.1,,decaying_beta
high_activity,8,8,adaptive,12,800,0.1,800,573,571,2,589,9,213,86,127,124,3,0,0.40375586854460094,0.596244131455399,0.73625,0.71375,0.01125,6.116279069767442,4.0,33,1,,False,12,1.0,11,0.3519710002365173,0.6116279069767443,0.1,,decaying_beta
high_activity,9,9,adaptive,12,800,0.1,800,556,552,4,571,15,188,87,101,98,3,1,0.4627659574468085,0.5372340425531915,0.71375,0.69,0.01875,8.885057471264368,5.0,35,0,,False,12,1.0,11,0.3505616248367005,0.8885057471264368,0.0,,decaying_beta
normal,0,0,adaptive,12,800,0.1,800,361,351,10,362,94,63,34,29,28,1,1,0.5396825396825397,0.4603174603174603,0.4525,0.43875,0.1175,3.411764705882353,2.5,11,2,,False,12,1.0,11,1.12289850050729,0.3411764705882353,0.2,,logistic_regression
normal,1,1,adaptive,12,800,0.1,800,320,309,11,318,118,63,32,31,31,0,0,0.5079365079365079,0.49206349206349204,0.3975,0.38625,0.1475,3.40625,2.0,11,2,,False,12,1.0,11,1.118412499781698,0.340625,0.2,,logistic_regression
normal,2,2,adaptive,12,800,0.1,800,318,310,8,317,116,62,26,36,36,0,0,0.41935483870967744,0.5806451612903226,0.39625,0.3875,0.145,3.6923076923076925,2.0,18,5,,False,12,1.0,11,1.1726448750778218,0.36923076923076925,0.5,,logistic_regression
normal,3,3,adaptive,12,800,0.1,800,280,263,17,273,104,62,32,30,30,0,0,0.5161290322580645,0.4838709677419355,0.34125,0.32875,0.13,3.03125,2.0,14,2,,False,12,1.0,11,1.1627920005776105,0.30312500000000003,0.2,,logistic_regression
normal,4,4,adaptive,12,800,0.1,800,308,300,8,308,119,62,28,34,32,2,0,0.45161290322580644,0.5483870967741935,0.385,0.375,0.14875,4.821428571428571,3.0,22,5,,False,12,1.0,11,1.1737642501248047,0.48214285714285715,0.5,,logistic_regression
normal,5,5,adaptive,12,800,0.1,800,307,298,9,303,95,57,31,26,26,0,0,0.543859649122807,0.45614035087719296,0.37875,0.3725,0.11875,3.6774193548387095,3.0,13,5,,False,12,1.0,11,1.1403679988870863,0.36774193548387096,0.5,,logistic_regression
normal,6,6,adaptive,12,800,0.1,800,374,361,13,372,86,69,33,36,36,0,0,0.4782608695652174,0.5217391304347826,0.465,0.45125,0.1075,2.3636363636363638,2.0,13,2,,False,12,1.0,11,1.101173124734487,0.2363636363636364,0.2,,logistic_regression
normal,7,7,adaptive,12,800,0.1,800,338,330,8,346,91,58,28,30,30,0,0,0.4827586206896552,0.5172413793103449,0.4325,0.4125,0.11375,2.0357142857142856,1.0,11,2,,False,12,1.0,11,1.144823499089398,0.20357142857142857,0.2,,logistic_regression
normal,8,8,adaptive,12,800,0.1,800,360,354,6,363,96,65,34,31,31,0,0,0.5230769230769231,0.47692307692307695,0.45375,0.4425,0.12,2.2941176470588234,2.0,10,2,,False,12,1.0,11,1.146272874866554,0.22941176470588234,0.2,,logistic_regression
normal,9,9,adaptive,12,800,0.1,800,337,329,8,339,102,62,30,32,31,1,0,0.4838709677419355,0.5161290322580645,0.42375,0.41125,0.1275,3.066666666666667,1.0,17,12,,False,12,1.0,11,1.1351308751181932,0.3066666666666667,1.2000000000000002,,logistic_regression
emerging_signal,0,0,adaptive,12,800,0.1,800,484,479,5,493,30,48,24,24,24,0,0,0.5,0.5,0.61625,0.59875,0.0375,6.125,4.0,25,1,34.0,False,12,1.0,11,1.1191233749195817,0.6125,0.1,3.4000000000000004,logistic_regression
emerging_signal,1,1,adaptive,12,800,0.1,800,509,503,6,522,14,38,22,16,16,0,0,0.5789473684210527,0.42105263157894735,0.6525,0.62875,0.0175,7.909090909090909,3.0,29,8,24.0,False,12,1.0,11,1.128071499952057,0.790909090909091,0.8,2.4000000000000004,logistic_regression
emerging_signal,2,2,adaptive,12,800,0.1,800,437,431,6,451,38,56,35,21,21,0,0,0.625,0.375,0.56375,0.53875,0.0475,6.628571428571429,3.0,35,1,28.0,False,12,1.0,11,1.1300961253800779,0.6628571428571429,0.1,2.8000000000000003,logistic_regression
emerging_signal,3,3,adaptive,12,800,0.1,800,407,398,9,415,49,53,36,17,17,0,0,0.6792452830188679,0.32075471698113206,0.51875,0.4975,0.06125,5.888888888888889,4.0,31,8,6.0,False,12,1.0,11,1.1635473746719072,0.5888888888888889,0.8,0.6000000000000001,logistic_regression
emerging_signal,4,4,adaptive,12,800,0.1,800,454,445,9,459,22,56,35,21,21,0,0,0.625,0.375,0.57375,0.55625,0.0275,5.171428571428572,2.0,22,1,11.0,False,12,1.0,11,1.1518282499309862,0.5171428571428572,0.1,1.1,logistic_regression
emerging_signal,5,5,adaptive,12,800,0.1,800,477,472,5,491,30,51,30,21,20,1,0,0.5882352941176471,0.4117647058823529,0.61375,0.59,0.0375,4.4,1.5,19,1,15.0,False,12,1.0,11,1.1351686245689052,0.44000000000000006,0.1,1.5,logistic_regression
emerging_signal,6,6,adaptive,12,800,0.1,800,439,436,3,450,38,46,28,18,18,0,0,0.6086956521739131,0.391304347826087,0.5625,0.545,0.0475,6.571428571428571,4.5,30,1,20.0,False,12,1.0,11,1.132106874974852,0.6571428571428571,0.1,2.0,logistic_regression
emerging_signal,7,7,adaptive,12,800,0.1,800,438,430,8,442,56,65,38,27,27,0,0,0.5846153846153846,0.4153846153846154,0.5525,0.5375,0.07,5.184210526315789,3.0,24,1,57.0,False,12,1.0,11,1.1439081249409355,0.518421052631579,0.1,5.7,logistic_regression
emerging_signal,8,8,adaptive,12,800,0.1,800,424,414,10,425,46,55,33,22,21,1,0,0.6,0.4,0.53125,0.5175,0.0575,6.363636363636363,5.0,34,1,22.0,False,12,1.0,11,1.1697583744171425,0.6363636363636364,0.1,2.2,logistic_regression
emerging_signal,9,9,adaptive,12,800,0.1,800,435,431,4,445,43,56,36,20,19,1,1,0.6428571428571429,0.35714285714285715,0.55625,0.53875,0.05375,7.138888888888889,2.0,33,8,19.0,False,12,1.0,11,1.1438061246371944,0.713888888888889,0.8,1.9000000000000001,logistic_regression
high_activity,0,0,adaptive,12,800,0.1,800,577,570,7,583,4,207,76,131,131,0,2,0.3671497584541063,0.6328502415458938,0.72875,0.7125,0.005,9.828947368421053,5.0,34,0,,False,12,1.0,11,1.1639653747988632,0.9828947368421054,0.0,,logistic_regression
high_activity,1,1,adaptive,12,800,0.1,800,574,571,3,590,1,189,78,111,109,2,2,0.4126984126984127,0.5873015873015873,0.7375,0.71375,0.00125,12.705128205128204,11.0,35,0,,False,12,1.0,11,1.1980073749509756,1.2705128205128204,0.0,,logistic_regression
high_activity,2,2,adaptive,12,800,0.1,800,573,571,2,582,1,214,83,131,131,0,3,0.3878504672897196,0.6121495327102804,0.7275,0.71375,0.00125,11.240963855421686,7.0,35,0,,False,12,1.0,11,1.1653958749957383,1.1240963855421686,0.0,,logistic_regression
high_activity,3,3,adaptive,12,800,0.1,800,575,567,8,581,0,197,76,121,119,2,2,0.38578680203045684,0.6142131979695431,0.72625,0.70875,0.0,12.223684210526315,9.0,38,1,,False,12,1.0,11,1.1529702500774874,1.2223684210526315,0.1,,logistic_regression
high_activity,4,4,adaptive,12,800,0.1,800,575,568,7,587,0,204,94,110,110,0,2,0.46078431372549017,0.5392156862745098,0.73375,0.71,0.0,11.23404255319149,6.0,35,0,,False,12,1.0,11,1.160281749907881,1.123404255319149,0.0,,logistic_regression
high_activity,5,5,adaptive,12,800,0.1,800,564,559,5,580,0,190,79,111,111,0,1,0.41578947368421054,0.5842105263157895,0.725,0.69875,0.0,11.354430379746836,7.0,35,0,,False,12,1.0,11,1.147633624568698,1.1354430379746836,0.0,,logistic_regression
high_activity,6,6,adaptive,12,800,0.1,800,583,579,4,593,0,186,90,96,96,0,4,0.4838709677419355,0.5161290322580645,0.74125,0.72375,0.0,12.9,12.0,36,1,,False,12,1.0,11,1.1373153740350972,1.29,0.1,,logistic_regression
high_activity,7,7,adaptive,12,800,0.1,800,575,571,4,590,1,221,82,139,139,0,2,0.37104072398190047,0.6289592760180995,0.7375,0.71375,0.00125,10.963414634146341,8.0,36,1,,False,12,1.0,11,1.1112009997668792,1.0963414634146342,0.1,,logistic_regression
high_activity,8,8,adaptive,12,800,0.1,800,575,572,3,586,0,213,85,128,128,0,1,0.39906103286384975,0.6009389671361502,0.7325,0.715,0.0,12.729411764705882,8.0,35,1,,False,12,1.0,11,1.1213357499218546,1.2729411764705882,0.1,,logistic_regression
high_activity,9,9,adaptive,12,800,0.1,800,572,569,3,591,1,188,87,101,100,1,1,0.4627659574468085,0.5372340425531915,0.73875,0.71125,0.00125,11.482758620689655,8.0,34,0,,False,12,1.0,11,1.1328553758357884,1.1482758620689655,0.0,,logistic_regression
normal,0,0,adaptive,12,800,0.1,800,373,363,10,373,69,63,35,28,28,0,0,0.5555555555555556,0.4444444444444444,0.46625,0.45375,0.08625,3.8,3.0,14,2,,False,12,1.0,11,3.432547625088773,0.38,0.2,,hist_gradient_boosting
normal,1,1,adaptive,12,800,0.1,800,352,342,10,352,83,63,32,31,31,0,0,0.5079365079365079,0.49206349206349204,0.44,0.4275,0.10375,3.40625,2.0,18,2,,False,12,1.0,11,3.4625059998143115,0.340625,0.2,,hist_gradient_boosting
normal,2,2,adaptive,12,800,0.1,800,364,349,15,354,80,62,33,29,29,0,0,0.532258064516129,0.46774193548387094,0.4425,0.43625,0.1,2.606060606060606,2.0,12,5,,False,12,1.0,11,3.513325874155271,0.2606060606060606,0.5,,hist_gradient_boosting
normal,3,3,adaptive,12,800,0.1,800,291,280,11,289,85,62,32,30,30,0,0,0.5161290322580645,0.4838709677419355,0.36125,0.35,0.10625,3.5,2.0,10,2,,False,12,1.0,11,3.7020236253010808,0.35000000000000003,0.2,,hist_gradient_boosting
