scenario,strategy,detection_rate_mean,detection_rate_std,detection_rate_count,missed_detection_rate_mean,missed_detection_rate_std,missed_detection_rate_count,mean_detection_delay_slots_mean,mean_detection_delay_slots_std,mean_detection_delay_slots_count,time_to_first_detection_slots_mean,time_to_first_detection_slots_std,time_to_first_detection_slots_count,emerging_discovery_delay_slots_mean,emerging_discovery_delay_slots_std,emerging_discovery_delay_slots_count,on_target_scan_rate_mean,on_target_scan_rate_std,on_target_scan_rate_count,scan_efficiency_mean,scan_efficiency_std,scan_efficiency_count,redundant_scan_rate_mean,redundant_scan_rate_std,redundant_scan_rate_count,channel_coverage_mean,channel_coverage_std,channel_coverage_count,coverage_time_slots_mean,coverage_time_slots_std,coverage_time_slots_count
bursty,adaptive,0.1953097415460513,0.026242798185659798,30,0.8046902584539487,0.026242798185659787,30,1.1951839709486,0.24269330121731525,30,17.4,15.153467794762246,30,,,0,0.11620833333333333,0.025198529251461915,30,0.11216666666666668,0.024811646783153153,30,0.04804166666666666,0.011492516930694462,30,1.0,0.0,30,11.0,0.0,30
bursty,heuristic,0.17146586381723733,0.02930362193926491,30,0.8285341361827626,0.029303621939264883,30,0.24478870532808586,0.15100576125874787,30,34.7,85.96075688439423,30,,,0,0.09766666666666667,0.019052822821599546,30,0.09516666666666666,0.018762160807351574,30,0.53325,0.04788253407000842,30,1.0,0.0,30,11.866666666666667,0.9732042112432568,30
bursty,random,0.16392513429398192,0.024220450505666225,30,0.8360748657060182,0.02422045050566621,30,1.022583413036558,0.2232726591290243,30,17.166666666666668,16.457014715109583,30,,,0,0.049791666666666665,0.006382925544430792,30,0.04829166666666666,0.006215277108884999,30,0.304125,0.015523029332420007,30,1.0,0.0,30,32.86666666666667,9.793500072913714,30
bursty,sequential,0.184777614365112,0.022451241338922595,30,0.815222385634888,0.022451241338922578,30,1.2469076634994223,0.28541071303141424,30,18.933333333333334,18.1448830695928,30,,,0,0.051083333333333335,0.006059451627250482,30,0.049749999999999996,0.006402451039277445,30,0.0,0.0,30,1.0,0.0,30,11.0,0.0,30
changing_distribution,adaptive,0.5377772809423457,0.050854563850237657,30,0.4622227190576542,0.050854563850237657,30,11.819029923910916,1.7156159244397904,30,0.26666666666666666,0.44977644510880366,30,,,0,0.6876666666666666,0.011581482941594173,30,0.6671666666666667,0.012704929353800331,30,0.007875,0.008273021692890358,30,1.0,0.0,30,11.0,0.0,30
changing_distribution,heuristic,0.33911078424840746,0.04509610793839922,30,0.6608892157515924,0.04509610793839924,30,9.73190287400227,3.3583076311437683,30,0.26666666666666666,0.4497764451088037,30,,,0,0.4874583333333334,0.08140104218952131,30,0.473875,0.0792681707113961,30,0.31595833333333334,0.07474935368574621,30,1.0,0.0,30,11.866666666666667,0.9732042112432568,30
changing_distribution,random,0.645689902221324,0.05233115516468094,30,0.354310097778676,0.05233115516468096,30,7.455945953861053,1.0468225365975956,30,4.233333333333333,3.9539010272556565,30,,,0,0.21050000000000002,0.017864432009848025,30,0.20500000000000002,0.01728625625091835,30,0.257625,0.016252818058034926,30,1.0,0.0,30,32.86666666666667,9.793500072913714,30
changing_distribution,sequential,0.7189428567280207,0.04366768149974547,30,0.28105714327197917,0.0436676814997455,30,5.061102428024842,0.5523255061396266,30,0.26666666666666666,0.44977644510880366,30,,,0,0.21075,0.007143842296595068,30,0.203875,0.008169473772779854,30,0.0,0.0,30,1.0,0.0,30,11.0,0.0,30
dynamic,adaptive,0.39646283132129906,0.030951001336230424,30,0.603537168678701,0.030951001336230407,30,7.34978145951399,1.1795503601170778,30,1.4,0.8136762043449723,30,20.4,18.144249587774308,30,0.6516249999999999,0.020852390708881858,30,0.6311666666666667,0.021737395607940076,30,0.012750000000000001,0.009350686863946743,30,1.0,0.0,30,11.0,0.0,30
dynamic,heuristic,0.26677302592571567,0.03629746390699876,30,0.7332269740742843,0.036297463906998756,30,4.581925547680398,1.8777537060994072,30,1.3333333333333333,0.8441822541139558,30,134.5,76.8001253857001,28,0.5572083333333333,0.09615937478579717,30,0.5398333333333334,0.094304814238223,30,0.21608333333333332,0.08931596696012974,30,1.0,0.0,30,11.866666666666667,0.9732042112432568,30
