metric,strategy_a,strategy_b,n,mean_a,mean_b,mean_diff,cohen_d,t_statistic,t_pvalue,wilcoxon_statistic,wilcoxon_pvalue,significant_0_05,note
detection_rate,sequential,adaptive,210,0.5535048449565506,0.4309834101277829,-0.12252143482876766,-1.20896428438036,-17.519556917643104,6.9478855028037675e-43,1054.0,3.4634196753089817e-29,True,
mean_detection_delay_slots,sequential,adaptive,210,4.524079676123998,6.605995476863892,2.081915800739895,0.6104375766179505,8.846080902801603,3.846003796672733e-16,5199.0,2.597299702640084e-11,True,
scan_efficiency,sequential,adaptive,210,0.14823214285714287,0.46151190476190473,0.3132797619047619,1.967075343071479,28.505629884588643,5.98754693262008e-74,0.0,3.292554139223006e-36,True,
on_target_scan_rate,sequential,adaptive,210,0.1579464285714286,0.48901190476190476,0.3310654761904762,2.142767685125574,31.051653804714917,3.084683263201217e-80,0.0,3.2941949005845466e-36,True,
redundant_scan_rate,sequential,adaptive,210,0.0,0.037089285714285714,0.037089285714285714,0.9293311521925445,13.467287848392479,3.5621648779777284e-30,0.0,1.9915051736179274e-33,True,
detection_rate,random,adaptive,210,0.4611790418480179,0.4309834101277829,-0.03019563172023494,-0.2967520047794989,-4.3003451014467275,2.6162989309320786e-05,6801.0,3.354186839217155e-05,True,
mean_detection_delay_slots,random,adaptive,210,5.728787750176094,6.605995476863892,0.8772077266877998,0.2824631728551566,4.093280254768104,6.0755760045649495e-05,7948.0,0.0003857062660523645,True,
scan_efficiency,random,adaptive,210,0.14641071428571426,0.46151190476190473,0.31510119047619045,1.9910164568886335,28.852569584636434,7.954953208590113e-75,0.0,3.294657823530905e-36,True,
on_target_scan_rate,random,adaptive,210,0.15489880952380952,0.48901190476190476,0.3341130952380952,2.185367123299332,31.668978312466848,1.0330593398957804e-81,0.0,3.2948682640167804e-36,True,
redundant_scan_rate,random,adaptive,210,0.2644761904761905,0.037089285714285714,-0.22738690476190476,-6.792486833388818,-98.43248574616864,4.642217760903607e-177,0.0,3.2895691573586364e-36,True,
detection_rate,heuristic,adaptive,210,0.2900400835778182,0.4309834101277829,0.14094332654996475,1.632398779814611,23.655705718313467,5.1231767030734405e-61,180.0,9.300191429152157e-35,True,
mean_detection_delay_slots,heuristic,adaptive,209,4.891703260317331,6.6111987158990395,1.719495455581708,0.6025147243941579,8.71045432571456,9.48960717944772e-16,3097.0,2.321343902513488e-19,True,
scan_efficiency,heuristic,adaptive,210,0.42718452380952376,0.46151190476190473,0.03432738095238095,0.30155543295933607,4.369953388874012,1.957230928997549e-05,7792.5,0.0002803307827690381,True,
on_target_scan_rate,heuristic,adaptive,210,0.45947023809523807,0.48901190476190476,0.029541666666666664,0.22518250094171882,3.263204457795605,0.0012867791816980076,8072.0,0.0012946714797395541,True,
redundant_scan_rate,heuristic,adaptive,210,0.28174404761904764,0.037089285714285714,-0.2446547619047619,-1.6909477532769082,-24.50416095085826,2.2630819709251305e-63,0.0,3.2952891843013966e-36,True,
